item_id,layer,name_ko,name_en,role_in_collagen_system,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
CL-L6-015,L6,폴리에폭시/디에폭시 가교제,Polyepoxy / diepoxide crosslinker,아민·카복실 양쪽과 반응해 아민계·에스터계 가교를 조절,선택,체내 이식용 생체보철 고정 범주. 체외 오가노이드 겔에 부적합,CLAIM,특허 US5314874(Koken) 독립항 1; US9220808(Harbor MedTech) 독립항 1; US6117979(Medtronic) 독립항 1,"US5314874: 아텔로콜라겐 55~75 mg/mL 수성 현탁액을 폴리에폭시 화합물로 20~100 중량% 가교하고 아텔로콜라겐 아미노 측쇄의 10% 이상이 가교된 주입용 조성물. US9220808: pH 8.0~10.5 완충액 1차 가교 후 pH 3.0~5.5 완충액 2차 가교로 아민계/에스터계 가교비를 조절, 프로테이스 소화 첫 24시간 분해속도 0.2~1.0%/시간","아텔로콜라겐 55~75 mg/mL, 폴리에폭시 20~100 중량%, 아미노 측쇄 가교율 ≥10%(청구항 수치)",확보 실패: 세포배양급 상용 폴리에폭시 가교제 미확인,US5314874 / US9220808 (특허번호),해당 없음(이식재 제조),화학 합성,글루타르알데하이드; EDC/NHS,세포 봉입 불가; 체외 배양용이 아님 — 용도 혼동 주의,상,청구항 원문 수치를 직접 확인. 단 체내 이식용임을 명시
CL-L6-016,L6,DMTMM 커플링제,DMTMM coupling agent,수계에서 아민-카복실 결합을 EDC/NHS보다 효율적으로 형성,선택,HA 티라민화 등 다당 개질에 주로 사용. 콜라겐 직접 가교 근거는 이 자료에 없음,DOSE,PMC13501466[전문 확인]; PMC7043048[전문 확인]; PMC7299624[전문 확인],PMC13501466: HA 1 w/v% 용액에 DMTMM 1.25 mmol과 티라민 1.25 mmol을 넣고 37 °C 24시간 반응. PMC7043048: 시스타민을 HA에 결합할 때 EDC/NHS 대신 DMTMM 사용. PMC7299624: 콜라겐 모방체 각막 패치(LiQD Cornea) 제조에 DMTMM 사용,1.25 mmol/1 w/v% HA 100 mL 기준; 37 °C 24시간,TCI Chemicals / Merck,확보 실패: 구체 품번 미검증,시약급,화학 합성,EDC/NHS,콜라겐 직접 가교 조건이 본 자료에 없음,중,"HA 개질 조건은 전문 확인, 콜라겐 직접 적용 근거 없음"
CL-L7-001,L7,아크릴레이트-PEG-NHS,Acrylate PEG-NHS,콜라겐 아민에 PEG를 붙이고 폴리아크릴아마이드와 공중합해 강성을 독립 제어,조건부,콜라겐 리간드 밀도를 고정한 채 강성만 바꾸는 실험 설계에서만 필요,DOSE;SUBST,PMC3986240[전문 확인],"3 mg/mL 콜라겐 용액을 50 mg/mL Acrylate PEG-NHS와 10:1 비율로 4 °C 2시간 반응시켜 콜라겐 결합 폴리아크릴아마이드(CCP) 겔을 제작. 순수 콜라겐 겔(1.4 mg/mL, 전단탄성률 0.2 kPa)과 탄성률 약 6, 40 kPa CCP 겔에서 배아체의 심혈관 오가노이드 형성을 비교, 심근 강성대(E 6~10 kPa)에서 분화가 촉진됨","콜라겐 3 mg/mL : Acrylate PEG-NHS 50 mg/mL = 10:1 (v/v), 4 °C 2시간",JenKem Technology,확보 실패: 구체 품번 미검증,연구용,화학 합성,PEG-tetraBCN(SPAAC); 메타크릴화 콜라겐,폴리아크릴아마이드 단량체(아크릴아마이드)의 신경독성; 미반응 단량체 세척 필수,상,조성비·강성 수치가 전문에서 확인됨
CL-L7-002,L7,PEG-tetraBCN(무동 클릭 백본),PEG-tetraBCN (SPAAC backbone),아자이드 펩타이드와 구리 없이 반응해 완전 정의된 겔을 형성. 콜라겐 대체 골격,선택,콜라겐 I/III 골격 전제에서는 대체 골격이므로 필요 없음. 대조군 설계용,DOSE,PMC13528202[전문 확인],"PEG-tetraBCN(약 20 kDa) 3 mM에 N3-GRGDS 0.64 mM, N3-GDGEA 0.12 mM, N3-GGFOGER 0.12 mM을 결합하고 이아자이드 MMP 가교체 6 mM을 PEG:가교체 1:2 몰비로 혼합, 37 °C 30분 겔화","PEG-tetraBCN 3 mM, 총 펜던트 펩타이드 2 mM, 가교체 6 mM, 37 °C 30분",확보 실패: 상용 공급처 미확인(논문은 자가 합성),해당 없음,연구용,화학 합성,PEG-VS + RGD/라미닌-111(PMC8889330 기재),콜라겐 골격 전제를 벗어남,상,조성·겔화 조건이 전문에서 정량 확인됨
CL-L7-003,L7,젤라틴(알지네이트-젤라틴-콜라겐 바이오잉크),Gelatin (for ALG-GEL-COL bioink),프린팅 가능한 점도를 부여하고 온도 반응성 형태 유지,조건부,3D 프린팅 경로를 택할 때만,DOSE,PMC4835808[전문 확인]; PMC13556172[전문 확인],"PMC4835808: 최종 1% (w/v) 알지네이트 + 10% (w/v) 젤라틴에 콜라겐 0.513·0.615·0.82·1.025 mg/mL를 첨가, 0.82 mg/mL 미만에서 완전 균질. PMC13556172: ALG-GEL-COL 바이오잉크의 CaCl2 농도별(0.2~4.5% w/v) 인쇄성·안정성 평가","젤라틴 10% (w/v), 알지네이트 1% (w/v), 콜라겐 0.5~1.0 mg/mL",Merck/Sigma-Aldrich,"G1890 (gelatin from porcine skin, type A)",세포배양급,돼지 피부,GelMA; 메틸셀룰로스,젤라틴은 변성 콜라겐이라 삼중나선 GFOGER 신호가 없음; 37 °C에서 용출,상,배합·한계 농도가 전문 2편에서 확인됨
CL-L7-004,L7,폴리카프로락톤(PCL) 나노섬유 지지체,Polycaprolactone nanofiber scaffold,얇은 콜라겐 층을 지지해 기저막 수준 강성(약 230 kPa)의 막을 만든다,조건부,장 상피 단층(막형) 모델에서만. 3D 돔 배양에는 불필요,DOSE,PMC13495896[전문 확인]; PMC7065466[전문 확인],"PMC13495896: PCL 5% (w/v)와 F-127(3:1 중량비) 용액을 중공 원통형 집전체로 전기방사한 뒤 0.15 mg/mL 랫 꼬리 I형 콜라겐(Corning) PBS 용액에 침지, 37 °C 1시간 배양으로 콜라겐을 섬유화·고정. 결과 막은 콜라겐 풍부 ECM 조성과 기저막 수준 강성(약 230 kPa)을 보임","PCL 5% (w/v) + F-127 (3:1 w/w); 콜라겐 0.15 mg/mL, PBS, 37 °C 1시간; 막 강성 약 230 kPa",Merck/Sigma-Aldrich,"440744 (polycaprolactone, Mn 80,000)",시약급,화학 합성,PLGA 나노섬유; Transwell 막,비분해성에 가까운 느린 분해; 전기방사 장비 필요,상,조성·강성이 전문에서 정량 확인됨
CL-L7-005,L7,메틸셀룰로스(열가역 하이드로겔),Methylcellulose thermoreversible hydrogel,온도 반응성 기재 위에 콜라겐을 얇게 도포해 세포 시트를 회수,선택,세포 시트 공학 전용. 오가노이드 3D 겔에 불필요,DOSE,PMC3972673[전문 확인],메틸셀룰로스 하이드로겔 표면에 2 mg/mL 소 I형 콜라겐(pH 7.5 조정) 약 200 µL를 37 °C에서 고르게 도포해야 지방줄기세포 부착이 개선됨. 별도로 0.5 mg/mL 소 진피 콜라겐 200 µL 도포 조건도 기술. 32 °C 미만으로 냉각하면 단층이 분리됨,"콜라겐 2 mg/mL(pH 7.5) 200 µL 도포, 37 °C; 회수 온도 <32 °C",Merck/Sigma-Aldrich,M0512 (methylcellulose). 확보 실패: 논문 사용 등급 미검증,시약급,셀룰로스 유도체,PNIPAM 코팅 디시,콜라겐 골격과 무관한 2D 시트 기술,중,"도포 조건은 전문 확인, 제품 등급 미검증"
CL-L7-006,L7,GelMA(광가교성 젤라틴),Gelatin methacryloyl (GelMA),콜라겐 겔에 광가교 2차망을 도입하거나 과립형 간극을 형성,선택,콜라겐 I/III 골격에서는 보조재. 필수 아님,DOSE,PMC13445519[전문 확인]; PMC13526705[전문 확인],"PMC13445519: GelMA 15% (w/v)를 광개시제 LAP 0.5% (w/v)와 함께 광가교. PMC13526705: 6%·9% GelMA 과립 단편의 강성이 각각 2.9 ± 0.4 kPa, 13.3 ± 1.8 kPa",6~15% (w/v); LAP 0.5% (w/v); 단편 강성 2.9~13.3 kPa,Merck/Sigma-Aldrich,"900622 (GelMA, gel strength 300 g Bloom, 60% 치환). 확보 실패: 제조사 페이지 원문 미확인",연구용,돼지/소 젤라틴,PhotoCol(메타크릴화 콜라겐),삼중나선 상실로 GFOGER 신호 없음,중,"강성·농도는 전문 확인, 제품 품번 미검증"
CL-L8-001,L8,수산화나트륨 1 N/0.1 M(중화용 염기),Sodium hydroxide 1 N / 0.1 M,산성 콜라겐 원액(pH 2~4)을 pH 7.0~7.4로 끌어올려 섬유형성을 개시시키는 방아쇠,필수,중화 없이는 콜라겐이 섬유를 만들지 않음 — 겔 자체가 성립하지 않는 절대 필수 항목,OMIT;DOSE;VENDOR,PMC11120981[전문 확인]; PMC4589685[전문 확인]; PMC12123143[전문 확인]; PMC6470149[전문 확인]; PMC8988230[전문 확인]; PMC2139818[전문 확인]; Advanced BioMatrix DFU 5005 Rev 10,"OMIT 근거(PMC11120981): NaOH로 pH를 보정하지 않으면 겔 강성이 유의하게 감소하고, 최적 비율로 NaOH를 넣으면 강성이 유의하게 증가. DOSE 근거: ABM DFU: 0.1 M NaOH로 pH 7.0~7.5 적정. PMC4589685: 1 N NaOH를 콜라겐 부피의 3.6% (v/v). PMC12123143: 0.1 mol/L NaOH 18 µL(10× PBS 42 µL, 콜라겐 5 mg/mL 300 µL, 세포현탁액 1 mL와 함께 24웰에 직접 조제 → 최종 1.10 mg/mL). PMC6470149: 1 M NaOH 0.85 µL(콜라겐 3.35 mg/mL 33.8 µL 기준 = 2.5% v/v). PMC8988230: 0.5 N NaOH 5 µL를 콜라겐 864 µL에 먼저 넣고 10× DMEM으로 미세 적정. PMC2139818: 0.1 M NaOH 0.1 mL(콜라겐 0.8 mL + 10× PBS 0.1 mL)",1 N 기준 콜라겐 부피의 2.5~3.6% (v/v); 0.1 M 기준 pH 미터/페놀레드로 pH 7.0~7.5까지 적정. 로트마다 필요량이 달라 적정곡선 사전 작성 필수,Merck/Sigma-Aldrich,655104 (1.0 N NaOH solution) / S5881 (pellets),"시약급, 멸균 여과",무기 시약,Tris base(PMC13254370 사례); 전용 중화액(ABM 5153),과다 투입 시 pH>8로 섬유가 굵고 성글어지며 겔이 불투명·취약해짐; 국소 알칼리로 세포 사멸,상,제조사 절차 + 전문 5편의 구체 부피비가 모두 일치 범위 내에서 확인됨
CL-L8-002,L8,10× PBS(중화·이온강도 공급),10X Phosphate buffered saline,중화와 동시에 생리적 이온강도·인산 완충능을 부여,필수,이온이 없으면 섬유가 아예 형성되지 않는 경우가 있다는 서술과 KCl 0.1→10 mM 등전점 이동 농도-반응이 있어 염류 공급이 겔 형성의 전제,DOSE;REVIEW;VENDOR,PMC5123637[전문 확인]; PMC2139818[전문 확인]; PMC12123143[전문 확인]; Advanced BioMatrix DFU 5005 Rev 10; Sigma-Aldrich P5493(2026-09-16 확인),"DOSE/REVIEW 근거(PMC5123637): 등전점에서 멀어진 pH에서는 섬유형성이 느리거나 불완전해 D-밴딩을 잃고, 경우에 따라 추가 이온이나 전하 조절 분자가 있어야만 섬유가 형성된다. KCl 0.1→10 mM에서 펩신 가용화 I형 콜라겐 등전점이 7.5→5.3으로 이동. ABM DFU 3D 겔 절차: 냉장 10× PBS(또는 10× 배지) 1부를 냉장 콜라겐 8부에 서서히 가하고, 0.1 M NaOH로 pH 7.0~7.5로 맞춘 뒤 멸균수로 총 10부를 채운다. PMC2139818: 10× PBS 0.1 mL. PMC12123143: 10× PBS 42 µL",최종 1×(전체의 1/10 부피); pH 7.2~7.6(25 °C),Merck/Sigma-Aldrich,"P5493 (10X, 1 L / 4 L)","BioPerformance Certified, 세포배양·분자생물학용",무기 염류,10× DMEM D2429; 10× MEM,인산 이온은 Ca2+와 침전할 수 있어 Ca2+ 함유 배지와 혼합 시 탁도 발생,상,"제조사 절차와 전문 2편에서 부피비 일치 확인, 제품 규격 확인"
CL-L8-003,L8,10× DMEM(중화 겸 영양 공급),"10X DMEM, low glucose",10× PBS 대신 사용해 중화·이온강도·영양·페놀레드 pH 지시를 동시에 제공,조건부,"10× PBS로 대체 가능한 치환 관계이며, 세포 봉입 겔에서 영양·pH 가시화가 필요할 때 선택",DOSE;VENDOR,PMC8988230[전문 확인]; PMC6470149[전문 확인]; PMC13253086[전문 확인]; Sigma-Aldrich D2429(2026-09-16 확인),"PMC8988230(유선 오가노이드 프로토콜): 콜라겐 864 µL(3.81 mg/mL) + 0.5 N NaOH 5 µL 후 10× 저포도당 DMEM을 80 µL → 10 µL → 4~5 µL씩 나눠 넣으며 페놀레드 색(연분홍 = pH 약 8)을 보고 중성까지 적정, 최종 3.29 mg/mL. PMC6470149: 5× DMEM 10 µL 사용. PMC13253086: 예냉 DMEM에 콜라겐 원액을 섞어 최종 2 mg/mL 후 NaOH 첨가",최종 1×(전체의 1/10); 페놀레드 색상으로 pH 7.2~7.4 판정; 모든 조작은 얼음 위,Merck/Sigma-Aldrich,"D2429 (DMEM 10X, low glucose, without L-glutamine and sodium bicarbonate)","멸균 여과, 세포배양 적합",합성 배지,Sigma M0275 (10X MEM); Nitta 키트 638-00781 동봉 10× Ham's F12/MEM,중탄산나트륨·글루타민 미함유이므로 별도 보충 필요; 페놀레드는 형광 이미징 배경을 높임,상,제조사 제품 규격과 전문 3편의 적정 절차 확인
CL-L8-004,L8,재구성 완충액(NaHCO3 + HEPES/NaOH),Reconstitution buffer (NaHCO3 + HEPES in NaOH),Cellmatrix계 8:1:1 프로토콜에서 pH·완충능을 동시에 공급하는 전용 염기 완충액,조건부,Cellmatrix 8:1:1 경로를 택할 때만 필요하며 10× PBS + 0.1 M NaOH 조합으로 치환 가능,DOSE;VENDOR,PMC4164635[전문 확인]; PMC10070462[전문 확인]; Nitta/FUJIFILM Wako 638-00781(2026-09-16 확인),"PMC10070462: Cellmatrix Type I-A 800 µL + 10× MEM 100 µL + 재구성 완충액 100 µL를 얼음 위에서 기포 없이 혼합(8:1:1). 조성은 0.05 N NaOH 100 mL 중 NaHCO3 2.2 g + HEPES 4.77 g(= NaOH 50 mM, NaHCO3 약 260 mM, HEPES 약 200 mM). 최종 pH 7.3~7.4",콜라겐:10×배지:완충액 = 8:1:1 (v/v); 완충액 조성 NaOH 50 mM / NaHCO3 260 mM / HEPES 200 mM; 최종 pH 7.3~7.4,Nitta Gelatin (FUJIFILM Wako 유통),"638-00781 (Collagen Gel Culturing Kit, 10× Ham's F12·MEM 및 완충액 포함)",세포배양용,무기·유기 완충 염류,자가 조제(NaHCO3 + HEPES + 0.05 N NaOH),HEPES는 광조사 시 과산화물을 생성해 세포 독성 유발 가능; NaHCO3는 CO2 인큐베이터 밖에서 pH가 상승,상,조성·비율이 전문 2편과 제조사 키트 구성에서 모두 확인됨
CL-L8-005,L8,중탄산나트륨,Sodium bicarbonate,CO2 인큐베이터(5% CO2)와 평형을 이뤄 배양 중 겔 주변 pH를 7.2~7.4로 유지,조건부,HEPES 단독 완충으로 치환 가능. 다만 중탄산 무함유 10× 배지(예: Sigma D2429)를 쓰면 보충이 필요,DOSE;VENDOR,PMC10070462[전문 확인]; Sigma-Aldrich D2429 사양(2026-09-16 확인),"재구성 완충액 조성의 주성분(0.05 N NaOH 100 mL 중 2.2 g, 약 260 mM). Sigma D2429는 중탄산나트륨 무함유로 표기되어 별도 보충 필요",재구성 완충액 기준 약 260 mM; 배지 기준 1.5~3.7 g/L(5% CO2 조건),Merck/Sigma-Aldrich,"S5761 (sodium bicarbonate, cell culture tested)",세포배양급,무기 시약,HEPES 단독(CO2 비의존),CO2 인큐베이터 밖에서 급격히 알칼리화,상,조성 수치와 제품의 중탄산 무함유 표기를 모두 확인
CL-L8-006,L8,HEPES 완충액,HEPES buffer,CO2에 의존하지 않고 pH를 안정시켜 겔 조제·현미경 관찰 중 pH 이탈을 막음,조건부,중탄산 완충 단독으로 치환 가능. 인큐베이터 밖 조작 시간이 긴 공정에서만 실질적으로 필요,DOSE,PMC10070462[전문 확인],재구성 완충액에 HEPES 4.77 g/100 mL(약 200 mM)로 포함. 동일 논문의 오가노이드 배지에도 10 mM HEPES(pH 7.3)가 별도 포함,재구성 완충액 약 200 mM; 배지 10 mM (pH 7.3),Merck/Sigma-Aldrich,H3375 / H0887 (1 M solution),세포배양급,유기 완충제,MOPS; 중탄산 단독,광조사 하 과산화물 생성으로 세포 독성,상,완충액 조성과 배지 농도가 전문에서 확인됨
CL-L8-007,L8,염화나트륨(이온강도 조절),Sodium chloride (ionic strength control),이온강도를 높여 콜라겐 등전점을 이동시키고 핵형성 지연·섬유 굵기·겔 탁도를 바꾼다,필수,"10× PBS/배지 안에 포함되어 자동으로 들어오지만, 섬유 직경·투명도를 조절하려면 명시적으로 관리해야 하는 변수",REVIEW;DOSE,PMC5123637[전문 확인]; PMC8228673[전문 확인],"PMC5123637: 이온강도는 핵형성을 지연시키며, KCl을 0.1 mM에서 10 mM로 올리면 펩신 가용화 I형 콜라겐의 등전점이 7.5 → 5.3으로 이동하고, 같은 양의 CaCl2에서는 9 이상으로 올라간다. NaCl 0.5 wt% 존재 시 콜라겐이 더 섬유성으로 변하며 슬러리 점도가 36.3 Pa·s → 3.2 Pa·s로 감소. PMC8228673: pH 7.4에서 이온강도를 10 mM 인산완충액만으로 제어했을 때 재구성 섬유 직경이 100~200 nm 범위",생리 이온강도 = 1× PBS(약 137 mM NaCl); 등전점 이동 실험 기준 KCl 0.1~10 mM; NaCl 0.5 wt%에서 점도 36.3 → 3.2 Pa·s,Merck/Sigma-Aldrich,"S5886 (NaCl, cell culture tested)",세포배양급,무기 시약,KCl; CaCl2(등전점을 반대로 이동),이온강도가 낮으면 섬유가 굵고 성글어져 겔이 불투명하고 공극이 커짐,상,등전점 이동·점도 변화가 전문에서 정량 확인됨
CL-L8-008,L8,"아세트산(0.02 N ~ 0.5 M, 용해·희석용)",Acetic acid (0.02 N – 0.5 M),콜라겐을 단분자 상태로 유지하는 산성 용매. 원액 희석·동결건조품 재용해에 사용,필수,모든 산가용성 콜라겐 원액의 용매이며 희석 시 동일 산으로 맞추지 않으면 조기 겔화·침전 발생,DOSE;VENDOR,PMC11120981[전문 확인]; PMC11696724[전문 확인]; PMC13027746[전문 확인]; Advanced BioMatrix DFU 5005/5201; Corning 354249 사양(2026-09-16 확인),DOSE 근거(PMC11120981): 같은 콜라겐을 0.05% 대 0.1% 아세트산에 녹였을 때 0.05%에서 압축탄성률이 유의하게 높음(회귀모형의 아세트산 농도 계수 음수) — 용매 산 농도가 물성에 직접 반영됨. Corning 354249는 0.02 N 아세트산. ABM PhotoCol은 20 mM 아세트산으로 3~8 mg/mL 재용해(3 mg/mL = 33.3 mL/100 mg). PMC11696724: 랫 꼬리건을 0.02 N 아세트산에 4 °C 48시간 교반 추출. PMC13027746: 해파리 콜라겐 스톡을 0.1 M 아세트산에 7.5~8 mg/mL,원액 용매 0.02 N; 재용해 20 mM(= 0.02 M); 추출 0.1~0.5 M; 2D 코팅 희석은 0.1% 아세트산 또는 0.01 N HCl,Merck/Sigma-Aldrich,"A6283 (glacial acetic acid, ≥99.7%)",시약급(ACS),화학 합성,0.01 N HCl(ABM 대체 기재),아세트산 농도가 높으면 중화에 더 많은 NaOH가 필요해 국소 알칼리 위험 증가; PMC11120981은 0.05% 대비 0.1% 아세트산에서 압축탄성률이 낮아짐을 보고,상,제조사 규격과 전문 2편에서 농도 확인
CL-L8-009,L8,희석 염산(0.01 N HCl),"Hydrochloric acid, 0.01 N",아세트산 대체 용매. III형 콜라겐 용액과 재조합 콜라겐 제형의 표준 용매,조건부,III형 콜라겐(ABM 5021)·CollPlant Collage 등 HCl 제형을 쓸 때 동반 필요,VENDOR;REVIEW,Advanced BioMatrix 5021 사양(2026-09-16 검색 확인); CollPlant rhCollagen 페이지(2026-09-16 확인); ABM DFU 5005; PMC5123637[전문 확인],ABM 5021은 0.01 N HCl(pH 2). CollPlant Collage는 10 mM HCl 중 3 mg/mL. ABM DFU는 2D 코팅 희석에 0.01 N HCl 사용 가능으로 기재. PMC5123637: HCl과 아세트산은 같은 pH를 맞추는 데 필요한 분자 수가 달라 동결건조 지지체의 공극 크기가 달라짐,0.01 N(용액 제품 용매); 10 mM(재조합 콜라겐 제형),Merck/Sigma-Aldrich,H1758 (1.0 N HCl solution),시약급,화학 합성,0.02 N 아세트산,강산이므로 국소 pH 쇼크 위험; 용매가 다른 콜라겐끼리 혼합 시 침전,상,제품 용매 규격과 문헌의 용매 효과가 모두 확인됨
CL-L8-010,L8,Tris 염기(대체 중화제),Tris base,NaOH 대신 완만하게 pH를 올려 국소 알칼리 손상을 줄이는 중화제,조건부,"NaOH로 충분하나, 고농도 겔이나 세포 밀도가 높을 때 대안",DOSE,PMC13254370[전문 확인]; PMC2133086[전문 확인],"PMC13254370: 랫 꼬리 I형 콜라겐(Corning)을 2 mg/mL로 희석하고 모든 시약을 얼음에서 1시간 예냉한 뒤 혼합, Tris 염기를 넣어 pH 7.2~7.4로 조정, 37 °C 3시간 배양. PMC2133086: 프로콜라겐 재용해에 50 mM Tris-HCl pH 7.5 + 0.15 M NaCl 사용",pH 7.2~7.4까지 적정; 참조 완충계 50 mM Tris-HCl pH 7.5 + 0.15 M NaCl,Merck/Sigma-Aldrich,T1503 (Trizma base),시약급,화학 합성,1 N NaOH,Tris는 온도 의존적 pKa 변화가 커서 4 °C 조제·37 °C 배양 간 pH가 이동,상,중화 절차와 온도·시간이 전문에서 확인됨
CL-L8-011,L8,멸균 초순수(부피 보정용),Sterile water for injection / ultrapure water,최종 콜라겐 농도와 이온강도를 목표치로 맞추는 희석수,조건부,배지·세포현탁액이 희석 역할을 겸할 수 있어 치환 가능. 무세포 겔에서는 부피 보정에 필요,VENDOR;DOSE,Advanced BioMatrix DFU 5005 Rev 10; PMC6470149[전문 확인]; PMC12123143[전문 확인],ABM DFU 3단계: 멸균수로 총 10부까지 최종 부피를 맞춘다. PMC6470149: 멸균 증류수 5.35 µL로 부피 보정. PMC12123143: 세포현탁액 1 mL가 희석 역할을 겸함,"총 10부 중 잔여분(ABM 절차: 콜라겐 8부 + 10× 염류 1부 + NaOH/물 1부); 예시 5.35 µL(콜라겐 33.8 µL, 총 100 µL 계, PMC6470149); 최종 농도 = 원액 농도 × 원액 부피 / 총 부피",Merck/Sigma-Aldrich,"W3500 (sterile-filtered water, cell culture)","세포배양급, 멸균",정제수,배지로 대체(영양 공급 겸),증류수 과다 시 저장성 쇼크 및 이온강도 저하로 섬유형성 불완전,상,제조사 절차와 전문 2편에서 확인
CL-L8-012,L8,페놀레드 pH 지시약(배지 내장),Phenol red pH indicator,중화 종점을 색으로 판정. pH 미터로 소량을 측정하기 어려운 마이크로 스케일에서 유용,조건부,pH 미터·pH 시험지로 치환 가능하며 제조사도 3가지를 대등하게 제시. 형광 이미징 실험에서는 오히려 배제 대상,DOSE,Advanced BioMatrix DFU 5005; PMC8988230[전문 확인]; PMC6723115[전문 확인],"ABM DFU: pH 조정을 pH 미터, 페놀레드 또는 pH 시험지로 주의 깊게 모니터링. PMC8988230: 10× DMEM을 4~5 µL씩 넣으며 색이 안정될 때까지 혼합, 연분홍 = pH 약 8. PMC6723115: pH 시험지로 확인해 pH 7.2인 콜라겐 용액만 채택하고 30 µL 돔으로 37 °C 60분 겔화",목표 색상 = 중성 적색(pH 7.2~7.4); 연분홍은 pH 약 8로 과염기 상태,배지에 내장(예: Sigma D2429) 또는 Sigma P3532 (phenol red sodium salt),D2429 / P3532,세포배양급,합성 색소,pH 시험지; 마이크로 pH 전극,형광(특히 적색 채널) 배경 상승 — 이미징 중심 실험에는 페놀레드 무함유 배지 사용 권장,상,제조사 절차와 전문 2편의 색 판정 기준 확인
CL-L8-013,L8,겔화 온도·시간 제어(37 °C 인큐베이터),"Gelation at 37 degC, 5% CO2",중화된 콜라겐을 승온해 섬유형성(성장기)을 완료시킨다,필수,pH와 함께 섬유형성을 지배하는 두 축 중 하나 — 온도 없이는 겔이 형성되지 않음,DOSE;REVIEW;VENDOR,PMC8228673[전문 확인]; PMC6723115[전문 확인]; PMC13253086[전문 확인]; PMC6470149[전문 확인]; PMC13478677[전문 확인]; PMC13206888[전문 확인]; Advanced BioMatrix DFU 5005/5153,"DOSE 근거(PMC8228673): 온도 스윕에서 32 °C를 넘어서면 G′가 상승하기 시작하고 32~37 °C 구간에서 미세섬유가 응집해 겔을 형성 — 겔화는 온도 의존적 전이임. ABM: 37 °C 가습 인큐베이터 60분. PMC6723115: 30 µL 돔, 37 °C 5% CO2 60분. PMC13253086: 혈관 오가노이드를 2 mg/mL 콜라겐에 넣고 37 °C 30분. PMC6470149: 3 µL 방울, 37 °C 15분. PMC13478677: 인간 위 ECM 하이드로겔은 37 °C 35~45분. PMC13206888: 세포:겔 = 1:8 혼합액 0.5 mL를 24웰에 분주해 37 °C 1시간","37 °C, 5% CO2; 부피별 소요시간 3 µL 방울 15분 / 30 µL 돔 60분 / 0.5 mL 60분; 승온 전까지 2~10 °C 유지",해당 없음(장비),CO2 인큐베이터,해당 없음,해당 없음,실온(25 °C) 서행 겔화 — 섬유가 굵어짐,승온 전 실온 방치 시 부분 겔화로 불균일; 대형 겔은 중심부 승온 지연,상,제조사 절차 + 전문 5편에서 부피-시간 관계가 일관되게 확인됨
CL-L8-014,L8,"저온 취급 체계(2~10 °C, 얼음, 예냉 팁)","Cold-chain handling (2-10 degC, ice, pre-chilled tips)",조제 중 조기 겔화를 막는다. 콜라겐 작업의 전 과정을 지배하는 공정 조건,필수,예냉하지 않으면 피펫 안에서 겔이 시작되어 농도·균일성이 무너짐 — 재현성의 최대 변수,DOSE;VENDOR,PMC8228673[전문 확인]; PMC6470149[전문 확인]; PMC8988230[전문 확인]; PMC13254370[전문 확인]; PMC11696724[전문 확인]; Advanced BioMatrix DFU 5005/5153/5201,"DOSE 근거(PMC8228673): 32 °C 이상에서 G′가 상승하므로 32 °C 미만, 실무상 2~10 °C에서는 섬유형성이 진행되지 않는다. ABM DFU: 겔화 방지를 위해 혼합물을 2~10 °C로 유지, 콜라겐과 작업 용액을 얼음에 두고 볼텍싱 금지. PMC6470149: 시약을 얼음에 두고 예냉 팁 사용. PMC8988230: 모든 단계를 얼음 위에서, 매 첨가 후 혼합. PMC13254370: 모든 시약을 얼음에서 1시간 예냉. PMC11696724: 추출 단계도 4 °C 48시간 교반","보관 2~10 °C(동결 금지), 조제 0~4 °C(얼음), 예냉 피펫 팁, 볼텍싱 금지(기포·전단 손상)",해당 없음(공정·소모품),"예냉 팁, 아이스박스, 4 °C 냉장고",해당 없음,해당 없음,냉각 블록,동결은 콜라겐을 불가역적으로 변성시킴 — 모든 제조사 DFU가 'Do not freeze' 명시,상,4개 제조사 DFU와 전문 4편에서 일관되게 규정됨
